company,fiscal_year,period_end,period_type,internal_metric,current_pipeline_value,current_pipeline_currency,current_pipeline_provider,current_pipeline_provider_field,current_pipeline_filing_date,current_pipeline_source_url,edgartools_value,edgartools_currency,edgartools_original_tag,edgartools_standard_concept,edgartools_filing_form,edgartools_filing_date,edgartools_accession_number,edgartools_source,difference_absolute,difference_relative,classification,comment
ASML Holding N.V.,2016,2016-12-31,FY,revenue,6875100000,EUR,sec_companyfacts,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2019-02-06,,6794752000.0,EUR,us-gaap:SalesRevenueNet,revenue,,2017-02-08,,edgartools.get_concept,-80348000.0,-0.01168681182819158994050995622,VALUE_MISMATCH,"Abweichung > 0,5 Prozent; Primärquelle fachlich pruefen."
ASML Holding N.V.,2016,2016-12-31,FY,cost_of_revenue,3729800000,EUR,sec_companyfacts,us-gaap:CostOfGoodsAndServicesSold,2019-02-06,,3750272000.0,EUR,us-gaap:CostOfGoodsAndServicesSold,cost_of_revenue,,2017-02-08,,edgartools.get_concept,20472000.0,0.005488766153681162528821920746,VALUE_MISMATCH,"Abweichung > 0,5 Prozent; Primärquelle fachlich pruefen."
ASML Holding N.V.,2016,2016-12-31,FY,gross_profit,3145300000,EUR,sec_companyfacts,us-gaap:GrossProfit,2019-02-06,,3044480000.0,EUR,us-gaap:GrossProfit,gross_profit,,2017-02-08,,edgartools.get_concept,-100820000.0,-0.03205417607223476297968397291,VALUE_MISMATCH,"Abweichung > 0,5 Prozent; Primärquelle fachlich pruefen."
ASML Holding N.V.,2016,2016-12-31,FY,operating_income,1758500000,EUR,sec_companyfacts,us-gaap:OperatingIncomeLoss,2019-02-06,,1657734000.0,EUR,us-gaap:OperatingIncomeLoss,operating_income,,2017-02-08,,edgartools.get_concept,-100766000.0,-0.05730224623258458913847028718,VALUE_MISMATCH,"Abweichung > 0,5 Prozent; Primärquelle fachlich pruefen."
ASML Holding N.V.,2016,2016-12-31,FY,pretax_income,1792200000,EUR,sec_companyfacts,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2019-02-06,,1691378000.0,EUR,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,20-F,2017-02-08,0000937966-17-000007,edgartools.get_annual_fact,-100822000.0,-0.05625599821448499051445151211,VALUE_MISMATCH,"Abweichung > 0,5 Prozent; Primärquelle fachlich pruefen."
ASML Holding N.V.,2016,2016-12-31,FY,net_income,1557800000,EUR,sec_companyfacts,us-gaap:NetIncomeLoss,2019-02-06,,1471894000.0,EUR,us-gaap:NetIncomeLoss,net_income,,2017-02-08,,edgartools.get_concept,-85906000.0,-0.05514571832070869174476826293,VALUE_MISMATCH,"Abweichung > 0,5 Prozent; Primärquelle fachlich pruefen."
ASML Holding N.V.,2016,2016-12-31,FY,total_assets,17205900000,EUR,sec_companyfacts,us-gaap:Assets,2018-02-07,,17205961000.0,EUR,Assets,total_assets,,2017-02-08,,edgartools.get_concept,61000.0,0.000003545295509098623146711302518,SEMANTIC_MATCH,"Kleine Abweichung innerhalb 0,5 Prozent; wahrscheinlich Rundung/Mapping."
ASML Holding N.V.,2016,2016-12-31,FY,current_assets,8557400000,EUR,sec_companyfacts,us-gaap:AssetsCurrent,2018-02-07,,8557429000.0,EUR,us-gaap:AssetsCurrent,us-gaap:AssetsCurrent,20-F,2017-02-08,0000937966-17-000007,edgartools.get_annual_fact,29000.0,0.000003388879799939233879449365461,SEMANTIC_MATCH,"Kleine Abweichung innerhalb 0,5 Prozent; wahrscheinlich Rundung/Mapping."
ASML Holding N.V.,2016,2016-12-31,FY,cash_and_equivalents,2906900000,EUR,sec_companyfacts,us-gaap:CashAndCashEquivalentsAtCarryingValue,2019-02-06,,2906868000.0,EUR,us-gaap:CashAndCashEquivalentsAtCarryingValue,cash_and_equivalents,,2017-02-08,,edgartools.get_concept,-32000.0,-0.00001100829061887233822972926485,SEMANTIC_MATCH,"Kleine Abweichung innerhalb 0,5 Prozent; wahrscheinlich Rundung/Mapping."
ASML Holding N.V.,2016,,FY,short_term_investments,,,,,,,,,,,,,,,,,UNSUPPORTED,Weder aktueller Import noch EdgarTools lieferten einen Wert.
ASML Holding N.V.,2016,2016-12-31,FY,accounts_receivable,700200000,EUR,sec_companyfacts,us-gaap:AccountsReceivableNetCurrent,2018-02-07,,700206000.0,EUR,us-gaap:AccountsReceivableNetCurrent,accounts_receivable,,2017-02-08,,edgartools.get_concept,6000.0,0.000008568980291345329905741216795,SEMANTIC_MATCH,"Kleine Abweichung innerhalb 0,5 Prozent; wahrscheinlich Rundung/Mapping."
ASML Holding N.V.,2016,2016-12-31,FY,inventory,2780900000,EUR,sec_companyfacts,us-gaap:InventoryNet,2018-02-07,,2780878000.0,EUR,us-gaap:InventoryNet,inventory,,2017-02-08,,edgartools.get_concept,-22000.0,-0.000007911107914703872846920061850,SEMANTIC_MATCH,"Kleine Abweichung innerhalb 0,5 Prozent; wahrscheinlich Rundung/Mapping."
ASML Holding N.V.,2016,2016-12-31,FY,ppe_net,1687200000,EUR,sec_companyfacts,us-gaap:PropertyPlantAndEquipmentNet,2019-02-06,,1687237000.0,EUR,us-gaap:PropertyPlantAndEquipmentNet,property_plant_equipment,,2017-02-08,,edgartools.get_concept,37000.0,0.00002192982456140350877192982456,SEMANTIC_MATCH,"Kleine Abweichung innerhalb 0,5 Prozent; wahrscheinlich Rundung/Mapping."
ASML Holding N.V.,2016,2016-12-31,FY,goodwill,4873900000,EUR,sec_companyfacts,us-gaap:Goodwill,2019-02-06,,4873894000.0,EUR,Goodwill,goodwill,,2017-02-08,,edgartools.get_concept,-6000.0,-0.000001231047005478159174377808326,SEMANTIC_MATCH,"Kleine Abweichung innerhalb 0,5 Prozent; wahrscheinlich Rundung/Mapping."
ASML Holding N.V.,2016,2016-12-31,FY,total_liabilities,7385500000,EUR,sec_companyfacts,us-gaap:Liabilities,2018-02-07,,7385480000.0,EUR,Liabilities,total_liabilities,,2017-02-08,,edgartools.get_concept,-20000.0,-0.000002708008936429490217317717148,SEMANTIC_MATCH,"Kleine Abweichung innerhalb 0,5 Prozent; wahrscheinlich Rundung/Mapping."
