ticker,fiscal_year,metric,requirement,final_status,final_provider,final_value,final_currency,final_field,final_filing_date,final_accession,dual_run_classification,sec_value,sec_field,edgartools_value,edgartools_field,reason,dependent_metrics_unavailable
ASML,2023,accounts_payable,REQUIRED,PASS,edgartools,2347300000.0,EUR,us-gaap:AccountsPayableCurrent,2025-03-05,0000937966-25-000009,VALUE_MATCH,2347300000,us-gaap:AccountsPayableCurrent,2347300000.0,us-gaap:AccountsPayableCurrent,,
ASML,2023,accounts_receivable,REQUIRED,PASS,edgartools,4334100000.0,EUR,us-gaap:AccountsReceivableNetCurrent,2025-03-05,0000937966-25-000009,VALUE_MATCH,4334100000,us-gaap:AccountsReceivableNetCurrent,4334100000.0,us-gaap:AccountsReceivableNetCurrent,,
ASML,2023,capital_expenditures,REQUIRED,PASS,edgartools,2155600000.0,EUR,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2026-02-25,0001628280-26-011378,VALUE_MATCH,2155600000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2155600000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,
ASML,2023,cash_and_equivalents,REQUIRED,PASS,edgartools,7004700000.0,EUR,us-gaap:CashAndCashEquivalentsAtCarryingValue,2025-03-05,0000937966-25-000009,VALUE_MATCH,7004700000,us-gaap:CashAndCashEquivalentsAtCarryingValue,7004700000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,,
ASML,2023,current_assets,REQUIRED,PASS,edgartools,24393900000.0,EUR,us-gaap:AssetsCurrent,2025-03-05,0000937966-25-000009,VALUE_MATCH,24393900000,us-gaap:AssetsCurrent,24393900000.0,us-gaap:AssetsCurrent,,
ASML,2023,current_liabilities,REQUIRED,PASS,edgartools,16274700000.0,EUR,us-gaap:LiabilitiesCurrent,2025-03-05,0000937966-25-000009,VALUE_MATCH,16274700000,us-gaap:LiabilitiesCurrent,16274700000.0,us-gaap:LiabilitiesCurrent,,
ASML,2023,depreciation_amortization,REQUIRED,PASS,edgartools,739800000.0,EUR,us-gaap:DepreciationDepletionAndAmortization,2026-02-25,0001628280-26-011378,VALUE_MATCH,739800000,us-gaap:DepreciationDepletionAndAmortization,739800000.0,us-gaap:DepreciationDepletionAndAmortization,,
ASML,2023,gross_profit,REQUIRED,PASS,edgartools,14136100000.0,EUR,us-gaap:GrossProfit,2026-02-25,0001628280-26-011378,VALUE_MATCH,14136100000,us-gaap:GrossProfit,14136100000.0,us-gaap:GrossProfit,,
ASML,2023,inventory,CONDITIONAL,PASS,edgartools,8850700000.0,EUR,us-gaap:InventoryNet,2025-03-05,0000937966-25-000009,VALUE_MATCH,8850700000,us-gaap:InventoryNet,8850700000.0,us-gaap:InventoryNet,,
ASML,2023,long_term_debt,REQUIRED,PASS,edgartools,4631500000.0,EUR,us-gaap:LongTermDebtNoncurrent,2025-03-05,0000937966-25-000009,VALUE_MATCH,4631500000,us-gaap:LongTermDebtNoncurrent,4631500000.0,us-gaap:LongTermDebtNoncurrent,,
