ticker,company,analysis_as_of_date,listing,exchange,security_type,price,price_date,price_provider,shares_outstanding,share_date,share_provider,share_basis,share_age_days,financial_currency,trading_currency,fx_rate,fx_date,adr_ratio,underlying_share_ratio,metric_id,value,currency,status,issues,input_refs,inputs_hash
AAPL,Apple Inc.,2026-08-23,AAPL,NASDAQ,ordinary_share,309.3500,2026-08-21,alphavantage_global_quote,14594180000,2026-07-17,sec_companyfacts,ORDINARY_SHARES,35,USD,USD,,,,,market_cap,4514709583000.0000,USD,AVAILABLE,CURRENCY_MATCH,quote:alphavantage_global_quote:AAPL:309.3500:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:14594180000:2026-07-17:2026-07-31;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:AAPL:NASDAQ:ordinary_share:None:None:1;analysis_as_of:2026-08-23,2c1426845e38b03bcd6218ffc6e286c8889208cc78dc1bb3329b3f26d4c203cb
AAPL,Apple Inc.,2026-08-23,AAPL,NASDAQ,ordinary_share,309.3500,2026-08-21,alphavantage_global_quote,14594180000,2026-07-17,sec_companyfacts,ORDINARY_SHARES,35,USD,USD,,,,,enterprise_value,4569453583000.0000,USD,AVAILABLE,CURRENCY_MATCH,quote:alphavantage_global_quote:AAPL:309.3500:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:14594180000:2026-07-17:2026-07-31;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:AAPL:NASDAQ:ordinary_share:None:None:1;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2025:54744000000.0:USD:a4ea93baa7cb7313f2d15dd6b0a52e57a90cb1332dad9276ba578aa0547a700a,d59868e652c05854bca23e84ca58a85bb38e087afc21cfd873c3adf943d311ec
MSFT,Microsoft Corporation,2026-08-23,MSFT,NASDAQ,ordinary_share,483.2400,2026-08-21,alphavantage_global_quote,7425545491,2026-07-23,sec_companyfacts,ORDINARY_SHARES,29,USD,USD,,,,,market_cap,3588320603070.8400,USD,AVAILABLE,CURRENCY_MATCH,quote:alphavantage_global_quote:MSFT:483.2400:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:7425545491:2026-07-23:2026-07-29;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:MSFT:NASDAQ:ordinary_share:None:None:1;analysis_as_of:2026-08-23,84fad87903e39718b2cc4daef3f38e373b2c105a8d4acd618ee0854160dbc001
MSFT,Microsoft Corporation,2026-08-23,MSFT,NASDAQ,ordinary_share,483.2400,2026-08-21,alphavantage_global_quote,7425545491,2026-07-23,sec_companyfacts,ORDINARY_SHARES,29,USD,USD,,,,,enterprise_value,3607679603070.8400,USD,AVAILABLE,CURRENCY_MATCH,quote:alphavantage_global_quote:MSFT:483.2400:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:7425545491:2026-07-23:2026-07-29;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:MSFT:NASDAQ:ordinary_share:None:None:1;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2026:19359000000.0:USD:dc821219f185b74ff363db1b1067af6c5350f09a37b30f8478426e72e49e1f80,15616688f2cfbc2de35465ab86788f3dcbc0220aa6106f351a7565e5f976febb
ADBE,Adobe Inc.,2026-08-23,ADBE,NASDAQ,ordinary_share,275.3000,2026-08-21,alphavantage_global_quote,397500000,2026-06-11,sec_companyfacts,ORDINARY_SHARES,71,USD,USD,,,,,market_cap,109431750000.0000,USD,AVAILABLE,CURRENCY_MATCH,quote:alphavantage_global_quote:ADBE:275.3000:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:397500000:2026-06-11:2026-06-15;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:ADBE:NASDAQ:ordinary_share:None:None:1;analysis_as_of:2026-08-23,4cd9e582e0a2435b985bb919cac6b1a25707aa2398926dd229ad0491acddac7c
ADBE,Adobe Inc.,2026-08-23,ADBE,NASDAQ,ordinary_share,275.3000,2026-08-21,alphavantage_global_quote,397500000,2026-06-11,sec_companyfacts,ORDINARY_SHARES,71,USD,USD,,,,,enterprise_value,110210750000.0000,USD,AVAILABLE,CURRENCY_MATCH,quote:alphavantage_global_quote:ADBE:275.3000:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:397500000:2026-06-11:2026-06-15;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:ADBE:NASDAQ:ordinary_share:None:None:1;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2025:779000000.0:USD:f59c512f18c0886dc30ad40a8eb54a20ef54981b706b948167d7471f3a3f4be6,af57956674e6ddc045587f3502cfa9f75817c062ccfa4416e5a788bad98f29dc
ASML,ASML Holding N.V.,2026-08-23,ASML,NASDAQ,ADR,1763.7600,2026-08-21,alphavantage_global_quote,385417665,2025-12-31,sec_companyfacts,ORDINARY_SHARES,233,EUR,USD,1.1699,2026-08-21,1,1,market_cap,679784260820.4000,USD,AVAILABLE,FX_REQUIRED,quote:alphavantage_global_quote:ASML:1763.7600:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:385417665:2025-12-31:2026-02-25;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:ASML:NASDAQ:ADR:1:1:1;analysis_as_of:2026-08-23,7948e64a136b982b08f9fef2198f024d77b08e16a9b07e80a2a03e6ed5d0156c
ASML,ASML Holding N.V.,2026-08-23,ASML,NASDAQ,ADR,1763.7600,2026-08-21,alphavantage_global_quote,385417665,2025-12-31,sec_companyfacts,ORDINARY_SHARES,233,EUR,USD,1.1699,2026-08-21,1,1,enterprise_value,669810746330.40000,USD,AVAILABLE,FX_APPLIED,quote:alphavantage_global_quote:ASML:1763.7600:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:385417665:2025-12-31:2026-02-25;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:ASML:NASDAQ:ADR:1:1:1;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2025:-8525100000.0:EUR:88f571295b37c48e320c153e6f9407dd8291da903d78c9c96ec62b2f45060fb9;fx:frankfurter:EUR:USD:1.1699:2026-08-21,fea23aa6db4cfd4c65e9aed10887f22b6145e95bb108b84ed3075386ea2c57a9
TSM,Taiwan Semiconductor Manufacturing Company Limited,2026-08-23,TSM,NYSE,ADR,418.9500,2026-08-21,alphavantage_global_quote,25932524521,2025-12-31,sec_companyfacts,ORDINARY_SHARES,233,TWD,USD,0.031425,2026-08-23,1,5,market_cap,2172886229614.59000,USD,AVAILABLE,FX_REQUIRED,quote:alphavantage_global_quote:TSM:418.9500:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:25932524521:2025-12-31:2026-04-16;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:TSM:NYSE:ADR:1:5:1;analysis_as_of:2026-08-23,ae5f51d593e9f01cd2d72579f1af38e036bf6373e1b2447d5240d441261bdd98
TSM,Taiwan Semiconductor Manufacturing Company Limited,2026-08-23,TSM,NYSE,ADR,418.9500,2026-08-21,alphavantage_global_quote,25932524521,2025-12-31,sec_companyfacts,ORDINARY_SHARES,233,TWD,USD,0.031425,2026-08-23,1,5,enterprise_value,2091461031529.590000,USD,AVAILABLE,FX_APPLIED,quote:alphavantage_global_quote:TSM:418.9500:USD:2026-08-21;shares:sec_companyfacts:dei:EntityCommonStockSharesOutstanding:25932524521:2025-12-31:2026-04-16;share_basis:ORDINARY_SHARES;listing:phase6a1_listing_review:TSM:NYSE:ADR:1:5:1;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2025:-2591096200000:TWD:b6c7f7da7735bbd7f8ff5bf043a5a49f7bf3a19e8639d846060b78b09b5be3b0;fx:open_er_api:TWD:USD:0.031425:2026-08-23,8a37f4eb1549d0b5cf5abb768a00b8e22555fb803994fd4a7754aad16a754dc9
