ticker,company,metric_id,status,value,currency,issues,input_refs,inputs_hash,market_data_version,analysis_as_of_date,price_date,share_date,filing_date,security_type,trading_currency,financial_currency
ASML,ASML Holding N.V.,market_cap,AVAILABLE,357708600000.00,EUR,CURRENCY_MATCH,quote:regression_fixture:ASML.AS:910.20:EUR:2026-08-21;shares:regression_fixture_shares:official_annual_report:shares_outstanding:393000000:2026-01-28:2026-02-11;listing:regression_fixture:ASML.AS:Euronext Amsterdam:ordinary_share:None:None;analysis_as_of:2026-08-23,94fd18efe7b11cb6fa3779efea575261cdb6b464151ac8d2d4235eced5045c6c,market-data-v1.0,2026-08-23,2026-08-21,2026-01-28,2026-02-11,ordinary_share,EUR,EUR
ASML,ASML Holding N.V.,enterprise_value,AVAILABLE,349183500000.00,EUR,CURRENCY_MATCH,quote:regression_fixture:ASML.AS:910.20:EUR:2026-08-21;shares:regression_fixture_shares:official_annual_report:shares_outstanding:393000000:2026-01-28:2026-02-11;listing:regression_fixture:ASML.AS:Euronext Amsterdam:ordinary_share:None:None;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2025:-8525100000.0:EUR:88f571295b37c48e320c153e6f9407dd8291da903d78c9c96ec62b2f45060fb9,e3b1755ab407c818c6aeea5b5547e828c86c473af782aba04c87bfacebc48be9,market-data-v1.0,2026-08-23,2026-08-21,2026-01-28,2026-02-11,ordinary_share,EUR,EUR
AAPL,Apple Inc.,market_cap,AVAILABLE,4084817347500.00,USD,CURRENCY_MATCH,quote:regression_fixture:AAPL:275.25:USD:2026-08-21;shares:regression_fixture_shares:dei:EntityCommonStockSharesOutstanding:14840390000:2025-10-17:2025-10-31;listing:regression_fixture:AAPL:NASDAQ:ordinary_share:None:None;analysis_as_of:2026-08-23,bdfe2fa20fafe121c9b18f6a25a73f37c17bcfa18d111b79fc13e10b0ec7704f,market-data-v1.0,2026-08-23,2026-08-21,2025-10-17,2025-10-31,ordinary_share,USD,USD
AAPL,Apple Inc.,enterprise_value,AVAILABLE,4139561347500.00,USD,CURRENCY_MATCH,quote:regression_fixture:AAPL:275.25:USD:2026-08-21;shares:regression_fixture_shares:dei:EntityCommonStockSharesOutstanding:14840390000:2025-10-17:2025-10-31;listing:regression_fixture:AAPL:NASDAQ:ordinary_share:None:None;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2025:54744000000.0:USD:a4ea93baa7cb7313f2d15dd6b0a52e57a90cb1332dad9276ba578aa0547a700a,702071b41ec7e34c7b11b5035152cb20f6ef767c1e3d9b992f6c807308f06c44,market-data-v1.0,2026-08-23,2026-08-21,2025-10-17,2025-10-31,ordinary_share,USD,USD
MSFT,Microsoft Corporation,market_cap,AVAILABLE,4354723000000.00,USD,CURRENCY_MATCH,quote:regression_fixture:MSFT:586.10:USD:2026-08-21;shares:regression_fixture_shares:dei:EntityCommonStockSharesOutstanding:7430000000:2026-07-20:2026-07-30;listing:regression_fixture:MSFT:NASDAQ:ordinary_share:None:None;analysis_as_of:2026-08-23,b4355703ff34f5731449d106a19d22be0b1ade85ff6e3adcdef5fc7aa5e49cec,market-data-v1.0,2026-08-23,2026-08-21,2026-07-20,2026-07-30,ordinary_share,USD,USD
MSFT,Microsoft Corporation,enterprise_value,AVAILABLE,4374082000000.00,USD,CURRENCY_MATCH,quote:regression_fixture:MSFT:586.10:USD:2026-08-21;shares:regression_fixture_shares:dei:EntityCommonStockSharesOutstanding:7430000000:2026-07-20:2026-07-30;listing:regression_fixture:MSFT:NASDAQ:ordinary_share:None:None;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2026:19359000000.0:USD:dc821219f185b74ff363db1b1067af6c5350f09a37b30f8478426e72e49e1f80,27774578347b7dcf0510b2093bc47bc96f146338c789a4b8c709412634c62995,market-data-v1.0,2026-08-23,2026-08-21,2026-07-20,2026-07-30,ordinary_share,USD,USD
TSM,Taiwan Semiconductor Manufacturing Company Limited,market_cap,AVAILABLE,1659544349312.000,USD,FX_REQUIRED,quote:regression_fixture:TSM:320.00:USD:2026-08-21;shares:regression_fixture_shares:official_20f:ordinary_shares:25930380458:2025-12-31:2026-04-16;listing:regression_fixture:TSM:NYSE:ADR:1:5;analysis_as_of:2026-08-23,1e85fcebcb471e4923343d574cd4ad329042bb5f7cf484e62683feabe259bbbe,market-data-v1.0,2026-08-23,2026-08-21,2025-12-31,2026-04-16,ADR,USD,TWD
TSM,Taiwan Semiconductor Manufacturing Company Limited,enterprise_value,AVAILABLE,1576629270912.000,USD,FX_APPLIED,quote:regression_fixture:TSM:320.00:USD:2026-08-21;shares:regression_fixture_shares:official_20f:ordinary_shares:25930380458:2025-12-31:2026-04-16;listing:regression_fixture:TSM:NYSE:ADR:1:5;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2025:-2591096200000:TWD:b6c7f7da7735bbd7f8ff5bf043a5a49f7bf3a19e8639d846060b78b09b5be3b0;fx:regression_fixture_fx:TWD:USD:0.032:2026-08-21,52a8a01d37c61090adbc33a966a1892678a58ceffab13039694abe7dec75c33c,market-data-v1.0,2026-08-23,2026-08-21,2025-12-31,2026-04-16,ADR,USD,TWD
ADBE,Adobe Inc.,market_cap,AVAILABLE,150886400000.00,USD,CURRENCY_MATCH,quote:regression_fixture:ADBE:358.40:USD:2026-08-21;shares:regression_fixture_shares:dei:EntityCommonStockSharesOutstanding:421000000:2026-01-16:2026-01-23;listing:regression_fixture:ADBE:NASDAQ:ordinary_share:None:None;analysis_as_of:2026-08-23,620516afa3f6fc1443b4ac0e1eec1b9058260f9d1cf69cd2d08ff14a50c89da6,market-data-v1.0,2026-08-23,2026-08-21,2026-01-16,2026-01-23,ordinary_share,USD,USD
ADBE,Adobe Inc.,enterprise_value,AVAILABLE,151665400000.00,USD,CURRENCY_MATCH,quote:regression_fixture:ADBE:358.40:USD:2026-08-21;shares:regression_fixture_shares:dei:EntityCommonStockSharesOutstanding:421000000:2026-01-16:2026-01-23;listing:regression_fixture:ADBE:NASDAQ:ordinary_share:None:None;analysis_as_of:2026-08-23;net_debt:calculation_engine_v1:2025:779000000.0:USD:f59c512f18c0886dc30ad40a8eb54a20ef54981b706b948167d7471f3a3f4be6,46d631967f88ad3bb424068fd76767ae5a996c2b02da6e0b27d35495856023aa,market-data-v1.0,2026-08-23,2026-08-21,2026-01-16,2026-01-23,ordinary_share,USD,USD
