ticker,metric,source_fiscal_years,source_year_count,review_pending_fiscal_years,review_pending_year_count,calculation_ready_fiscal_years,calculation_ready_year_count,missing_source_years,earliest_source_year,latest_source_year,coverage_status
ASML,accounts_payable,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,2008,2025,CALCULATION_READY_10Y
ASML,accounts_receivable,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,2008,2025,CALCULATION_READY_10Y
ASML,capex_ratio,,0,,0,2007 2008 2009 2010 2011 2012 2013 2017 2018 2019 2020 2021 2022 2023 2024 2025,16,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
ASML,capital_expenditures,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,2007,2025,CALCULATION_READY_10Y
ASML,cash_and_equivalents,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,20,,0,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,20,,2006,2025,CALCULATION_READY_10Y
ASML,cash_ratio,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
ASML,current_assets,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,2008,2025,CALCULATION_READY_10Y
ASML,current_liabilities,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,2008,2025,CALCULATION_READY_10Y
ASML,current_ratio,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
ASML,debt_to_equity,,0,,0,,0,,,,SOURCE_MISSING
ASML,depreciation_amortization,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,14,2007 2008 2009 2010 2011,5,,2007,2025,CALCULATION_READY_5Y
ASML,ebitda,,0,2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,14,2007 2008 2009 2010 2011,5,,,,DERIVED_CALCULATION_READY_5Y
ASML,ebitda_margin,,0,,0,2007 2008 2009 2010 2011,5,2007 2008 2009 2010 2011,,,CALCULATION_READY_5Y
ASML,equity_ratio,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
ASML,free_cash_flow,,0,,0,2007 2008 2009 2010 2011 2012 2013 2017 2018 2019 2020 2021 2022 2023 2024 2025,16,,,,DERIVED_CALCULATION_READY_10Y
ASML,free_cash_flow_margin,,0,,0,2007 2008 2009 2010 2011 2012 2013 2017 2018 2019 2020 2021 2022 2023 2024 2025,16,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
ASML,gross_margin,,0,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
ASML,gross_profit,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,2007,2025,CALCULATION_READY_10Y
ASML,inventory,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,2008,2025,CALCULATION_READY_10Y
ASML,inventory_days,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
ASML,inventory_intensity,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
ASML,long_term_debt,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,2008,2025,CALCULATION_READY_10Y
ASML,net_debt,,0,2010 2011 2012 2013 2014 2018 2019 2020 2021 2022 2023 2024 2025,13,,0,,,,DERIVED_SEMANTIC_REVIEW_REQUIRED
