ticker,stage,status,snapshot_id,engine_version,inputs_hash,warnings,blockers
ASML,FINANCIAL_DATA,REVIEW_REQUIRED,ef89521c367a81e21ca65af6e43117a18aacf1d3bc7c447c9b2b0093c2821747,preferred-data-v1,84d9cfe8cebc03fcb9740b0d868b8d5a075f8566118c4025650571440e3bd564,,2010 short_term_debt: primary_semantic_review_required; 2011 short_term_debt: primary_semantic_review_required; 2012 depreciation_amortization: primary_semantic_review_required; 2012 short_term_debt: primary_semantic_review_required; 2013 depreciation_amortization: primary_semantic_review_required; 2013 short_term_debt: primary_semantic_review_required; 2014 depreciation_amortization: primary_semantic_review_required; 2014 short_term_debt: primary_semantic_review_required; 2015 depreciation_amortization: primary_semantic_review_required; 2016 depreciation_amortization: primary_semantic_review_required; 2017 depreciation_amortization: primary_semantic_review_required; 2018 depreciation_amortization: primary_semantic_review_required; 2018 short_term_debt: primary_semantic_review_required; 2019 depreciation_amortization: primary_semantic_review_required; 2019 short_term_debt: primary_semantic_review_required; 2020 depreciation_amortization: primary_semantic_review_required; 2020 short_term_debt: primary_semantic_review_required; 2021 depreciation_amortization: primary_semantic_review_required; 2021 short_term_debt: primary_semantic_review_required; 2022 depreciation_amortization: primary_semantic_review_required
ASML,CALCULATION,REVIEW_REQUIRED,e466887b20ce97c25bfc17ca0c15c58efbd6cd024ef68123999e929d92192932,calc-v1.0,a45fb9a58493cd08e955af490fd31f970a5e94d70444e73c3fb8829ddd9d38ef,2006:gross_margin:MISSING_INPUT; 2006:operating_margin:MISSING_INPUT; 2006:net_margin:MISSING_INPUT; 2006:ebitda:MISSING_INPUT; 2006:ebitda_margin:MISSING_INPUT; 2006:return_on_assets:MISSING_INPUT; 2006:return_on_equity:MISSING_INPUT; 2006:equity_ratio:MISSING_INPUT; 2006:debt_to_assets:MISSING_INPUT; 2006:debt_to_equity:MISSING_INPUT; 2006:net_debt:MISSING_INPUT; 2006:net_debt_to_ebitda:MISSING_INPUT; 2006:current_ratio:MISSING_INPUT; 2006:quick_ratio:MISSING_INPUT; 2006:cash_ratio:MISSING_INPUT; 2006:operating_cash_flow_margin:MISSING_INPUT; 2006:capex_ratio:MISSING_INPUT; 2006:free_cash_flow:MISSING_INPUT; 2006:free_cash_flow_margin:MISSING_INPUT; 2006:working_capital:MISSING_INPUT; 2006:working_capital_to_revenue:MISSING_INPUT; 2006:receivables_days:MISSING_INPUT; 2006:payables_days:MISSING_INPUT; 2006:inventory_intensity:MISSING_INPUT; 2006:inventory_days:MISSING_INPUT; 2007:return_on_assets:MISSING_INPUT; 2007:equity_ratio:MISSING_INPUT; 2007:debt_to_assets:MISSING_INPUT; 2007:debt_to_equity:MISSING_INPUT; 2007:net_debt:MISSING_INPUT; 2007:net_debt_to_ebitda:MISSING_INPUT; 2007:current_ratio:MISSING_INPUT; 2007:quick_ratio:MISSING_INPUT; 2007:cash_ratio:MISSING_INPUT; 2007:working_capital:MISSING_INPUT; 2007:working_capital_to_revenue:MISSING_INPUT; 2007:receivables_days:MISSING_INPUT; 2007:payables_days:MISSING_INPUT; 2007:inventory_intensity:MISSING_INPUT; 2007:inventory_days:MISSING_INPUT; 2008:debt_to_assets:MISSING_INPUT; 2008:debt_to_equity:MISSING_INPUT; 2008:net_debt:MISSING_INPUT; 2008:net_debt_to_ebitda:MISSING_INPUT; 2009:debt_to_assets:MISSING_INPUT; 2009:debt_to_equity:MISSING_INPUT; 2009:net_debt:MISSING_INPUT; 2009:net_debt_to_ebitda:MISSING_INPUT; 2010:debt_to_assets:MISSING_INPUT; 2010:debt_to_equity:MISSING_INPUT; 2010:net_debt:MISSING_INPUT; 2010:net_debt_to_ebitda:MISSING_INPUT; 2011:debt_to_assets:MISSING_INPUT; 2011:debt_to_equity:MISSING_INPUT; 2011:net_debt:MISSING_INPUT; 2011:net_debt_to_ebitda:MISSING_INPUT; 2012:ebitda:MISSING_INPUT; 2012:ebitda_margin:MISSING_INPUT; 2012:debt_to_assets:MISSING_INPUT; 2012:debt_to_equity:MISSING_INPUT; 2012:net_debt:MISSING_INPUT; 2012:net_debt_to_ebitda:MISSING_INPUT; 2013:ebitda:MISSING_INPUT; 2013:ebitda_margin:MISSING_INPUT; 2013:debt_to_assets:MISSING_INPUT; 2013:debt_to_equity:MISSING_INPUT; 2013:net_debt:MISSING_INPUT; 2013:net_debt_to_ebitda:MISSING_INPUT; 2014:ebitda:MISSING_INPUT; 2014:ebitda_margin:MISSING_INPUT; 2014:debt_to_assets:MISSING_INPUT; 2014:debt_to_equity:MISSING_INPUT; 2014:net_debt:MISSING_INPUT; 2014:net_debt_to_ebitda:MISSING_INPUT; 2014:operating_cash_flow_margin:MISSING_INPUT; 2014:capex_ratio:MISSING_INPUT; 2014:free_cash_flow:MISSING_INPUT; 2014:free_cash_flow_margin:MISSING_INPUT; 2015:ebitda:MISSING_INPUT; 2015:ebitda_margin:MISSING_INPUT; 2015:debt_to_assets:MISSING_INPUT; 2015:debt_to_equity:MISSING_INPUT; 2015:net_debt:MISSING_INPUT; 2015:net_debt_to_ebitda:MISSING_INPUT; 2015:operating_cash_flow_margin:MISSING_INPUT; 2015:capex_ratio:MISSING_INPUT; 2015:free_cash_flow:MISSING_INPUT; 2015:free_cash_flow_margin:MISSING_INPUT; 2016:ebitda:MISSING_INPUT; 2016:ebitda_margin:MISSING_INPUT; 2016:debt_to_assets:MISSING_INPUT; 2016:debt_to_equity:MISSING_INPUT; 2016:net_debt:MISSING_INPUT; 2016:net_debt_to_ebitda:MISSING_INPUT; 2016:operating_cash_flow_margin:MISSING_INPUT; 2016:capex_ratio:MISSING_INPUT; 2016:free_cash_flow:MISSING_INPUT; 2016:free_cash_flow_margin:MISSING_INPUT; 2017:ebitda:MISSING_INPUT; 2017:ebitda_margin:MISSING_INPUT; 2017:debt_to_assets:MISSING_INPUT; 2017:debt_to_equity:MISSING_INPUT; 2017:net_debt:MISSING_INPUT; 2017:net_debt_to_ebitda:MISSING_INPUT; 2018:ebitda:MISSING_INPUT; 2018:ebitda_margin:MISSING_INPUT; 2018:debt_to_assets:MISSING_INPUT; 2018:debt_to_equity:MISSING_INPUT; 2018:net_debt:MISSING_INPUT; 2018:net_debt_to_ebitda:MISSING_INPUT; 2019:ebitda:MISSING_INPUT; 2019:ebitda_margin:MISSING_INPUT; 2019:debt_to_assets:MISSING_INPUT; 2019:debt_to_equity:MISSING_INPUT; 2019:net_debt:MISSING_INPUT; 2019:net_debt_to_ebitda:MISSING_INPUT; 2020:ebitda:MISSING_INPUT; 2020:ebitda_margin:MISSING_INPUT; 2020:debt_to_assets:MISSING_INPUT; 2020:debt_to_equity:MISSING_INPUT; 2020:net_debt:MISSING_INPUT; 2020:net_debt_to_ebitda:MISSING_INPUT; 2021:ebitda:MISSING_INPUT; 2021:ebitda_margin:MISSING_INPUT; 2021:debt_to_assets:MISSING_INPUT; 2021:debt_to_equity:MISSING_INPUT; 2021:net_debt:MISSING_INPUT; 2021:net_debt_to_ebitda:MISSING_INPUT; 2022:ebitda:MISSING_INPUT; 2022:ebitda_margin:MISSING_INPUT; 2022:debt_to_assets:MISSING_INPUT; 2022:debt_to_equity:MISSING_INPUT; 2022:net_debt:MISSING_INPUT; 2022:net_debt_to_ebitda:MISSING_INPUT; 2023:ebitda:MISSING_INPUT; 2023:ebitda_margin:MISSING_INPUT; 2023:debt_to_assets:MISSING_INPUT; 2023:debt_to_equity:MISSING_INPUT; 2023:net_debt:MISSING_INPUT; 2023:net_debt_to_ebitda:MISSING_INPUT; 2024:ebitda:MISSING_INPUT; 2024:ebitda_margin:MISSING_INPUT; 2024:debt_to_assets:MISSING_INPUT; 2024:debt_to_equity:MISSING_INPUT; 2024:net_debt:MISSING_INPUT; 2024:net_debt_to_ebitda:MISSING_INPUT; 2025:ebitda:MISSING_INPUT; 2025:ebitda_margin:MISSING_INPUT; 2025:debt_to_assets:MISSING_INPUT; 2025:debt_to_equity:MISSING_INPUT; 2025:net_debt:MISSING_INPUT; 2025:net_debt_to_ebitda:MISSING_INPUT,
ASML,HISTORICAL_ANALYSIS,READY,939cc786668a184105c5bf14f9888f822558ba62326369cfe12001e834e64c02,historical-v1.0,559db369f160596f4fb6b97fbf258ce7d663283675e91a9f2f89ee0cb42347d9,,
ASML,BUSINESS_QUALITY,READY,79dddb1abd20f2f73c28fe3638d1af00fa6c0331deeb69fcf66215863ed172b2,quality-v1.0,acc955bc920bcc03938e606a591d6f2121bf883fcc617cd99a93b508b6e446b9,,
ASML,MARKET_DATA,REVIEW_REQUIRED,c13018b710c409e8d718852178cc0fe7f55fa2894218d20c901f8174364db71c,market-data-v1.0,16b023f7a722c49da19daa220612d2c16baaabc260cf25b25f66b7ef4f77d6f5|3b1c93a311b5bc3fb1cbde47a1b51a251a86add14d938f3453811511905a1075,,
ASML,ASSUMPTIONS,REVIEW_REQUIRED,3ac8e986c4d92df0574ba2c7c57ca1083aef9cf723a8eda7f6ff20d5e943642f,assumption-engine-v1.0,b0171f758e0a48d491ef1a39cf60bd83a34aa70d3ca24e2b5f3a5556f06506a9,,
ASML,VALUATION,READY_FOR_PREVIEW,70e9a315f2eedbb4e082015b5576cf89672bdb7485c97e4685f2f620550aa5e9,valuation-v1.0,6a04cba0c02edc80b414efc31fc3498cbc19c653162f04b2d68b977d73900e13,,
AAPL,FINANCIAL_DATA,REVIEW_REQUIRED,e8daca2b16efbf6b99971a4f148518227553331fb09116f87f056339b75e743d,preferred-data-v1,e8805202ba3bdb6ad9671c106b81569136bf68386d5282b9e0e1cf2e66a78dd5,,2014 short_term_debt: primary_semantic_review_required; 2015 depreciation_amortization: primary_semantic_review_required; 2015 short_term_debt: primary_semantic_review_required; 2016 depreciation_amortization: primary_semantic_review_required; 2016 short_term_debt: primary_semantic_review_required; 2017 depreciation_amortization: primary_semantic_review_required; 2017 short_term_debt: primary_semantic_review_required; 2018 depreciation_amortization: primary_semantic_review_required; 2018 short_term_debt: primary_semantic_review_required; 2019 depreciation_amortization: primary_semantic_review_required; 2019 short_term_debt: primary_semantic_review_required; 2020 depreciation_amortization: primary_semantic_review_required; 2020 short_term_debt: primary_semantic_review_required; 2021 depreciation_amortization: primary_semantic_review_required; 2021 short_term_debt: primary_semantic_review_required; 2022 depreciation_amortization: primary_semantic_review_required; 2022 short_term_debt: primary_semantic_review_required; 2023 depreciation_amortization: primary_semantic_review_required; 2023 short_term_debt: primary_semantic_review_required; 2024 depreciation_amortization: primary_semantic_review_required
AAPL,CALCULATION,REVIEW_REQUIRED,e6c06ff64e3689db8316c4891262b81abae38f4eccdd2d0f8c9c42d33f2d09e1,calc-v1.0,ac9e41df0bdc1857cca38f21747687f397ee2d39798f87a8005e00012286aca4,2006:gross_margin:MISSING_INPUT; 2006:operating_margin:MISSING_INPUT; 2006:net_margin:MISSING_INPUT; 2006:ebitda:MISSING_INPUT; 2006:ebitda_margin:MISSING_INPUT; 2006:return_on_assets:MISSING_INPUT; 2006:return_on_equity:MISSING_INPUT; 2006:equity_ratio:MISSING_INPUT; 2006:debt_to_assets:MISSING_INPUT; 2006:debt_to_equity:MISSING_INPUT; 2006:net_debt:MISSING_INPUT; 2006:net_debt_to_ebitda:MISSING_INPUT; 2006:current_ratio:MISSING_INPUT; 2006:quick_ratio:MISSING_INPUT; 2006:cash_ratio:MISSING_INPUT; 2006:operating_cash_flow_margin:MISSING_INPUT; 2006:capex_ratio:MISSING_INPUT; 2006:free_cash_flow:MISSING_INPUT; 2006:free_cash_flow_margin:MISSING_INPUT; 2006:working_capital:MISSING_INPUT; 2006:working_capital_to_revenue:MISSING_INPUT; 2006:receivables_days:MISSING_INPUT; 2006:payables_days:MISSING_INPUT; 2006:inventory_intensity:MISSING_INPUT; 2006:inventory_days:MISSING_INPUT; 2007:ebitda:MISSING_INPUT; 2007:ebitda_margin:MISSING_INPUT; 2007:return_on_assets:MISSING_INPUT; 2007:equity_ratio:MISSING_INPUT; 2007:debt_to_assets:MISSING_INPUT; 2007:debt_to_equity:MISSING_INPUT; 2007:net_debt:MISSING_INPUT; 2007:net_debt_to_ebitda:MISSING_INPUT; 2007:current_ratio:MISSING_INPUT; 2007:quick_ratio:MISSING_INPUT; 2007:cash_ratio:MISSING_INPUT; 2007:capex_ratio:MISSING_INPUT; 2007:free_cash_flow:MISSING_INPUT; 2007:free_cash_flow_margin:MISSING_INPUT; 2007:working_capital:MISSING_INPUT; 2007:working_capital_to_revenue:MISSING_INPUT; 2007:receivables_days:MISSING_INPUT; 2007:payables_days:MISSING_INPUT; 2007:inventory_intensity:MISSING_INPUT; 2007:inventory_days:MISSING_INPUT; 2008:debt_to_assets:MISSING_INPUT; 2008:debt_to_equity:MISSING_INPUT; 2008:net_debt:MISSING_INPUT; 2008:net_debt_to_ebitda:MISSING_INPUT; 2008:capex_ratio:MISSING_INPUT; 2008:free_cash_flow:MISSING_INPUT; 2008:free_cash_flow_margin:MISSING_INPUT; 2009:debt_to_assets:MISSING_INPUT; 2009:debt_to_equity:MISSING_INPUT; 2009:net_debt:MISSING_INPUT; 2009:net_debt_to_ebitda:MISSING_INPUT; 2009:capex_ratio:MISSING_INPUT; 2009:free_cash_flow:MISSING_INPUT; 2009:free_cash_flow_margin:MISSING_INPUT; 2010:debt_to_assets:MISSING_INPUT; 2010:debt_to_equity:MISSING_INPUT; 2010:net_debt:MISSING_INPUT; 2010:net_debt_to_ebitda:MISSING_INPUT; 2010:capex_ratio:MISSING_INPUT; 2010:free_cash_flow:MISSING_INPUT; 2010:free_cash_flow_margin:MISSING_INPUT; 2011:debt_to_assets:MISSING_INPUT; 2011:debt_to_equity:MISSING_INPUT; 2011:net_debt:MISSING_INPUT; 2011:net_debt_to_ebitda:MISSING_INPUT; 2011:capex_ratio:MISSING_INPUT; 2011:free_cash_flow:MISSING_INPUT; 2011:free_cash_flow_margin:MISSING_INPUT; 2012:debt_to_assets:MISSING_INPUT; 2012:debt_to_equity:MISSING_INPUT; 2012:net_debt:MISSING_INPUT; 2012:net_debt_to_ebitda:MISSING_INPUT; 2012:capex_ratio:MISSING_INPUT; 2012:free_cash_flow:MISSING_INPUT; 2012:free_cash_flow_margin:MISSING_INPUT; 2013:debt_to_assets:MISSING_INPUT; 2013:debt_to_equity:MISSING_INPUT; 2013:net_debt:MISSING_INPUT; 2013:net_debt_to_ebitda:MISSING_INPUT; 2014:debt_to_assets:MISSING_INPUT; 2014:debt_to_equity:MISSING_INPUT; 2014:net_debt:MISSING_INPUT; 2014:net_debt_to_ebitda:MISSING_INPUT; 2014:operating_cash_flow_margin:MISSING_INPUT; 2014:capex_ratio:MISSING_INPUT; 2014:free_cash_flow:MISSING_INPUT; 2014:free_cash_flow_margin:MISSING_INPUT; 2015:ebitda:MISSING_INPUT; 2015:ebitda_margin:MISSING_INPUT; 2015:debt_to_assets:MISSING_INPUT; 2015:debt_to_equity:MISSING_INPUT; 2015:net_debt:MISSING_INPUT; 2015:net_debt_to_ebitda:MISSING_INPUT; 2016:ebitda:MISSING_INPUT; 2016:ebitda_margin:MISSING_INPUT; 2016:debt_to_assets:MISSING_INPUT; 2016:debt_to_equity:MISSING_INPUT; 2016:net_debt:MISSING_INPUT; 2016:net_debt_to_ebitda:MISSING_INPUT; 2017:ebitda:MISSING_INPUT; 2017:ebitda_margin:MISSING_INPUT; 2017:debt_to_assets:MISSING_INPUT; 2017:debt_to_equity:MISSING_INPUT; 2017:net_debt:MISSING_INPUT; 2017:net_debt_to_ebitda:MISSING_INPUT; 2018:ebitda:MISSING_INPUT; 2018:ebitda_margin:MISSING_INPUT; 2018:debt_to_assets:MISSING_INPUT; 2018:debt_to_equity:MISSING_INPUT; 2018:net_debt:MISSING_INPUT; 2018:net_debt_to_ebitda:MISSING_INPUT; 2019:ebitda:MISSING_INPUT; 2019:ebitda_margin:MISSING_INPUT; 2019:debt_to_assets:MISSING_INPUT; 2019:debt_to_equity:MISSING_INPUT; 2019:net_debt:MISSING_INPUT; 2019:net_debt_to_ebitda:MISSING_INPUT; 2020:ebitda:MISSING_INPUT; 2020:ebitda_margin:MISSING_INPUT; 2020:debt_to_assets:MISSING_INPUT; 2020:debt_to_equity:MISSING_INPUT; 2020:net_debt:MISSING_INPUT; 2020:net_debt_to_ebitda:MISSING_INPUT; 2021:ebitda:MISSING_INPUT; 2021:ebitda_margin:MISSING_INPUT; 2021:debt_to_assets:MISSING_INPUT; 2021:debt_to_equity:MISSING_INPUT; 2021:net_debt:MISSING_INPUT; 2021:net_debt_to_ebitda:MISSING_INPUT; 2022:ebitda:MISSING_INPUT; 2022:ebitda_margin:MISSING_INPUT; 2022:debt_to_assets:MISSING_INPUT; 2022:debt_to_equity:MISSING_INPUT; 2022:net_debt:MISSING_INPUT; 2022:net_debt_to_ebitda:MISSING_INPUT; 2023:ebitda:MISSING_INPUT; 2023:ebitda_margin:MISSING_INPUT; 2023:debt_to_assets:MISSING_INPUT; 2023:debt_to_equity:MISSING_INPUT; 2023:net_debt:MISSING_INPUT; 2023:net_debt_to_ebitda:MISSING_INPUT; 2024:ebitda:MISSING_INPUT; 2024:ebitda_margin:MISSING_INPUT; 2024:debt_to_assets:MISSING_INPUT; 2024:debt_to_equity:MISSING_INPUT; 2024:net_debt:MISSING_INPUT; 2024:net_debt_to_ebitda:MISSING_INPUT; 2025:ebitda:MISSING_INPUT; 2025:ebitda_margin:MISSING_INPUT; 2025:debt_to_assets:MISSING_INPUT; 2025:debt_to_equity:MISSING_INPUT; 2025:net_debt:MISSING_INPUT; 2025:net_debt_to_ebitda:MISSING_INPUT,
AAPL,HISTORICAL_ANALYSIS,READY,6077be787ebfd4a4f322b649190064e11ebbb3b767b0b2dc79430c987d2558e5,historical-v1.0,008c4c7eb1da8a55ba840ffd0b963507228fd4c080353fe8e488643c5000a213,,
