ticker,evidence_id,metric,value,unit,period,window,source_type,source_date,status,confidence,source_ref
ASML,ASML:historical:yoy:revenue:2024,revenue,0.025560171997750240397699439,decimal_ratio,2024,YoY,HISTORICAL_ANALYSIS,,AVAILABLE,MEDIUM,ASML:historical:yoy:revenue:2024
ASML,ASML:historical:yoy:revenue:2025,revenue,0.155836803725024678996139816,decimal_ratio,2025,YoY,HISTORICAL_ANALYSIS,,AVAILABLE,MEDIUM,ASML:historical:yoy:revenue:2025
ASML,ASML:historical:yoy:net_income:2024,net_income,-0.0341114938129863502997831356,decimal_ratio,2024,YoY,HISTORICAL_ANALYSIS,,AVAILABLE,MEDIUM,ASML:historical:yoy:net_income:2024
ASML,ASML:historical:yoy:net_income:2025,net_income,0.269137302551640340218712029,decimal_ratio,2025,YoY,HISTORICAL_ANALYSIS,,AVAILABLE,MEDIUM,ASML:historical:yoy:net_income:2025
ASML,ASML:historical:yoy:free_cash_flow:2024,free_cash_flow,1.767504106089178173854857351,decimal_ratio,2024,YoY,HISTORICAL_ANALYSIS,,AVAILABLE,MEDIUM,ASML:historical:yoy:free_cash_flow:2024
ASML,ASML:historical:yoy:free_cash_flow:2025,free_cash_flow,0.218254753269590064842290362,decimal_ratio,2025,YoY,HISTORICAL_ANALYSIS,,AVAILABLE,MEDIUM,ASML:historical:yoy:free_cash_flow:2025
ASML,ASML:historical:cagr:revenue:3Y_CAGR,revenue,0.088751666464656299011232786,decimal_ratio,3Y_CAGR,CAGR,HISTORICAL_ANALYSIS,,AVAILABLE,LOW,ASML:historical:cagr:revenue:3Y_CAGR
ASML,ASML:historical:cagr:net_income:3Y_CAGR,net_income,0.107178907542868554525916299,decimal_ratio,3Y_CAGR,CAGR,HISTORICAL_ANALYSIS,,AVAILABLE,LOW,ASML:historical:cagr:net_income:3Y_CAGR
ASML,ASML:historical:cagr:free_cash_flow:3Y_CAGR,free_cash_flow,0.836171297002610582844335752,decimal_ratio,3Y_CAGR,CAGR,HISTORICAL_ANALYSIS,,AVAILABLE,LOW,ASML:historical:cagr:free_cash_flow:3Y_CAGR
ASML,ASML:historical:margin_trend:gross_margin,gross_margin,0.0153470620087895021357387959,decimal_ratio_delta,"['2023', '2024', '2025']",trend,HISTORICAL_ANALYSIS,,AVAILABLE,MEDIUM,ASML:historical:margin_trend:gross_margin
